,modeller\lemmatized_model_cbow_window2_dim100.csv,modeller\lemmatized_model_cbow_window2_dim300.csv,modeller\lemmatized_model_cbow_window4_dim100.csv,modeller\lemmatized_model_cbow_window4_dim300.csv,modeller\lemmatized_model_skipgram_window2_dim100.csv,modeller\lemmatized_model_skipgram_window2_dim300.csv,modeller\lemmatized_model_skipgram_window4_dim100.csv,modeller\lemmatized_model_skipgram_window4_dim300.csv,modeller\stemmed_model_cbow_window2_dim100.csv,modeller\stemmed_model_cbow_window2_dim300.csv,modeller\stemmed_model_cbow_window4_dim100.csv,modeller\stemmed_model_cbow_window4_dim300.csv,modeller\stemmed_model_skipgram_window2_dim100.csv,modeller\stemmed_model_skipgram_window2_dim300.csv,modeller\stemmed_model_skipgram_window4_dim100.csv,modeller\stemmed_model_skipgram_window4_dim300.csv
modeller\lemmatized_model_cbow_window2_dim100.csv,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.1111111111111111,0.6666666666666666,0.25,0.42857142857142855,0.25,0.42857142857142855,0.1111111111111111,0.42857142857142855,0.42857142857142855
modeller\lemmatized_model_cbow_window2_dim300.csv,0.42857142857142855,1.0,0.25,0.25,0.25,0.42857142857142855,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.42857142857142855,0.25,0.25
modeller\lemmatized_model_cbow_window4_dim100.csv,0.42857142857142855,0.25,1.0,0.1111111111111111,0.1111111111111111,0.25,0.25,0.1111111111111111,0.42857142857142855,0.1111111111111111,0.25,0.42857142857142855,0.25,0.42857142857142855,0.25,0.42857142857142855
modeller\lemmatized_model_cbow_window4_dim300.csv,0.42857142857142855,0.25,0.1111111111111111,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.25,0.6666666666666666,0.1111111111111111,0.42857142857142855,0.25
modeller\lemmatized_model_skipgram_window2_dim100.csv,0.25,0.25,0.1111111111111111,0.6666666666666666,1.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.25,1.0,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25
modeller\lemmatized_model_skipgram_window2_dim300.csv,0.25,0.42857142857142855,0.25,0.42857142857142855,0.6666666666666666,1.0,0.25,0.42857142857142855,0.25,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.25,0.42857142857142855,0.1111111111111111,0.25
modeller\lemmatized_model_skipgram_window4_dim100.csv,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,1.0,0.25,0.6666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.1111111111111111
modeller\lemmatized_model_skipgram_window4_dim300.csv,0.1111111111111111,0.25,0.1111111111111111,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.25,1.0,0.1111111111111111,0.6666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
modeller\stemmed_model_cbow_window2_dim100.csv,0.6666666666666666,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.6666666666666666,0.1111111111111111,1.0,0.25,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25
modeller\stemmed_model_cbow_window2_dim300.csv,0.25,0.25,0.1111111111111111,0.6666666666666666,1.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.25,1.0,0.25,0.42857142857142855,0.42857142857142855,0.25,0.25,0.25
modeller\stemmed_model_cbow_window4_dim100.csv,0.42857142857142855,0.25,0.25,0.42857142857142855,0.25,0.1111111111111111,0.25,0.42857142857142855,0.25,0.25,1.0,0.1111111111111111,0.42857142857142855,0.1111111111111111,1.0,0.6666666666666666
modeller\stemmed_model_cbow_window4_dim300.csv,0.25,0.25,0.42857142857142855,0.25,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.1111111111111111,1.0,0.1111111111111111,0.42857142857142855,0.1111111111111111,0.25
modeller\stemmed_model_skipgram_window2_dim100.csv,0.42857142857142855,0.25,0.25,0.6666666666666666,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.1111111111111111,1.0,0.25,0.42857142857142855,0.25
modeller\stemmed_model_skipgram_window2_dim300.csv,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.25,0.42857142857142855,0.25,0.42857142857142855,0.25,0.25,0.1111111111111111,0.42857142857142855,0.25,1.0,0.1111111111111111,0.25
modeller\stemmed_model_skipgram_window4_dim100.csv,0.42857142857142855,0.25,0.25,0.42857142857142855,0.25,0.1111111111111111,0.25,0.42857142857142855,0.25,0.25,1.0,0.1111111111111111,0.42857142857142855,0.1111111111111111,1.0,0.6666666666666666
modeller\stemmed_model_skipgram_window4_dim300.csv,0.42857142857142855,0.25,0.42857142857142855,0.25,0.25,0.25,0.1111111111111111,0.42857142857142855,0.25,0.25,0.6666666666666666,0.25,0.25,0.25,0.6666666666666666,1.0
