word,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100
kırmızı,0.5229243184952045,0.8041234555457201,0.20546334216486517,0.6035513252085658,0.21530324096229259,0.3139313451243313,0.35009506495345877,0.25484583759773716,0.06834030883460518,0.6637231434973588,0.716702982895181,0.41874305617595176,0.11766899939099407,0.6825888762785504,0.20935743865921386,0.027910204582758835,0.1717311774398964,0.28389440292149826,0.16844218632215258,0.8875100019166009,0.7640283216311355,0.9642820555672458,0.33733680290882884,0.7992697708053192,0.5863320609434736,0.5837125149165726,0.09077029782334267,0.9456765758205488,0.3545065837082705,0.30106712595908325,0.20766679064486782,0.3541998165488197,0.508303023487745,0.32625519574189177,0.058162298584409355,0.36956878064252585,0.5908502311172692,0.7371707121079799,0.324768965551231,0.7988868208291493,0.028529859934129487,0.6934163546612417,0.18034194712161378,0.11815744034718634,0.5407295532344145,0.9023930278210088,0.002072955508146679,0.17380894258449509,0.5797932401983296,0.25814520680029485,0.14831359869175065,0.23308851330056257,0.5695572210529564,0.9317751682210577,0.37998083589576614,0.09164656808833571,0.7190123446221844,0.367119932021288,0.997241574293412,0.8866938970893394,0.6568824870389516,0.9565081167851138,0.6855095899289839,0.7379166855831736,0.41315713534007203,0.7313908503917125,0.5060056076033875,0.21131890104607198,0.464384787136484,0.625871471952998,0.3923151758446045,0.7140631264009506,0.20558533082092556,0.9688567450601604,0.9845883341214682,0.7670455607376726,0.2793247186621407,0.5045274474724158,0.1367966443277603,0.022187989875912972,0.648442012618322,0.3921415819546574,0.409571153058611,0.19135680388326204,0.10225554270421111,0.7878915476994343,0.18846205891706702,0.7902080763322284,0.7414479806997314,0.16964121560625323,0.8949093839368625,0.8868706053672097,0.7484684449021302,0.7035998434676646,0.28685711061417907,0.49569447826317914,0.9678383883385864,0.8462255523975747,0.45183541878599953,0.9406751123347523
mavi,0.5753313526163771,0.5965820989307051,0.6409402223748358,0.9730637281288104,0.07479039469894899,0.15850188410134458,0.7747950011450145,0.5265947372077775,0.09654205746629174,0.45872606755753287,0.7095031514756056,0.7897015367209376,0.3500212824087602,0.018351991392503986,0.3106327690434063,0.24420684945924176,0.20738086878605777,0.36048119989398175,0.646971003135152,0.36348547534003517,0.6981603230595013,0.962190889164482,0.800534153895864,0.6911922223634871,0.2706173664634334,0.16150984701007443,0.04134533864631296,0.011662512524938107,0.9102942423288674,0.03040581112196583,0.3149620066685267,0.981510145204303,0.7642631009171278,0.19809570715805702,0.1816496186149551,0.23269779484054665,0.1934316063979452,0.07308613856832624,0.8718684924413157,0.5063037994897338,0.8350245850824702,0.5657994376267595,0.09690552755912085,0.03948901686319928,0.06649432722661619,0.4506271197855418,0.4316597377390424,0.7793298288775198,0.8957590045054704,0.24649039689722574,0.7237946074927841,0.42435036135965043,0.28916150324182777,0.1621496240973488,0.20827674683717323,0.36716729151156235,0.6215265889976531,0.5452655391764575,0.6490426628814755,0.4493816669756261,0.6438393440465509,0.2992805940664739,0.7564833427629316,0.9381621600974036,0.41716506036538514,0.6085904772994881,0.1681625578689987,0.578927752355065,0.4043774285339007,0.4530490114707665,0.8517730424816978,0.6955738204005327,0.7478194725303445,0.26679790864189334,0.6988710703660225,0.39461412691314124,0.09343243271641488,0.9601303113402837,0.5037687347692342,0.04098590989527029,0.6644937958176648,0.5362457996194816,0.7484479198145836,0.3926864357554197,0.9420326199764066,0.29689059572993937,0.8099619505434417,0.18218662106058714,0.8897008556841962,0.5288486032022515,0.6559796067721431,0.21505319262242217,0.9667971394473138,0.6517736198089024,0.19281426897230047,0.004501187241942706,0.8635583156851543,0.25474324606423426,0.3992039200535522,0.18271380320109665
yeşil,0.6324920684113036,0.4094366547534344,0.461210268185514,0.9143451896319131,0.7365146191208573,0.857554521950893,0.8779594586357116,0.43689802467013594,0.3591354645199979,0.056061971020088586,0.8469861711556909,0.8355160200323509,0.4484390066662127,0.6517360948578622,0.8380017828462505,0.8507477493976471,0.3386232392568689,0.036860939483618904,0.3791772243484587,0.7989123438722935,0.7107230114638157,0.6402248280694696,0.6718865857627061,0.25651902861770015,0.1557192072162451,0.04425787500340961,0.2816565753085417,0.8054496942164463,0.49937715820867223,0.8069533274143362,0.7800814814923739,0.13145742449321718,0.31332653310268366,0.9026606204105132,0.5186839475374967,0.29926669887373547,0.11160174344238627,0.10366375365084535,0.5463938451065304,0.9819097666739474,0.9777577207348798,0.49378342604119474,0.392831694575727,0.3316321087672006,0.5302734692857991,0.9988104368062493,0.3994477697770217,0.7385537557911319,0.06246097923957927,0.07946104281180255,0.5352442603315348,0.721925869590255,0.01925894078802981,0.30898950843995043,0.5064754017470534,0.9901182902010756,0.9936082646218448,0.6439182236480274,0.152414129126339,0.7682451296554403,0.22947415950181216,0.9567026214432407,0.11326240690173384,0.5338903217274868,0.9351932460906877,0.4692459775509791,0.14984461727247267,0.36364574508993175,0.8169469609658752,0.85960952398691,0.7591766189113744,0.5205890265845194,0.30758901307745934,0.1180650161012815,0.25911846819727,0.3454975220137724,0.30937654177761365,0.8745405252956207,0.2649583849581101,0.8217776154446201,0.5279781125985126,0.9544177326573067,0.9265141342331417,0.24542330151238467,0.34346377929555516,0.013811281111266283,0.42137413826334147,0.1510575057152579,0.7244332551743823,0.5079090792605023,0.4708506809666787,0.6741113512372743,0.23729614703704438,0.4242324926467086,0.09157361317210033,0.2846004588897798,0.21058178969099894,0.1129500916306394,0.9198178775976182,0.009984679969601395
sarı,0.10207405589020879,0.6464820572139597,0.615867335727211,0.45060256983376346,0.5203017974271985,0.25876416486699805,0.008518741963759124,0.3220172633948021,0.008906231616665705,0.8292817746464887,0.39159786765170623,0.2902675083243652,0.862265485259103,0.6323957036515605,0.8636773119667619,0.9207169764737707,0.4835271426896781,0.8411859227654785,0.7312790862226795,0.2614486168696972,0.31215094351391326,0.4789921368831216,0.28016845117638134,0.8363105328116217,0.2710314529336175,0.4606906453814754,0.8559222228017586,0.2678045420542946,0.6659953043185002,0.30462519444362446,0.3324291121581281,0.5080998165866033,0.40145647427600284,0.6526155767860822,0.5282335506329364,0.9856550301012793,0.33352832445943525,0.48405758847307434,0.33983880077160855,0.7015015505129137,0.7875441328661823,0.5007141171326359,0.5990654660051793,0.46033286749000024,0.4860280160785633,0.40268635132895636,0.6925642149192458,0.8314491495049952,0.3899010139875194,0.15876720130388466,0.5413334362311807,0.15577816681272072,0.24148875608400977,0.4572815169361557,0.6265313279179789,0.35846283712143767,0.4467336662391721,0.1297902474437953,0.9533474067279467,0.16048456136855782,0.8327365900677722,0.02671219282464654,0.4105607004775692,0.2502110264523917,0.5395621809837238,0.11181711130939298,0.2030786841302603,0.022034190949907773,0.2788350481202786,0.7741822616815712,0.312761320370484,0.3151862897745521,0.05182570873550951,0.7920177039151586,0.13359254316784108,0.2459112789961957,0.47064960806972533,0.4026720767579266,0.09244567217975963,0.34764847048947567,0.5797303084818051,0.24928528225945779,0.10208924174310563,0.28705802004433767,0.10705596240825055,0.9334059571272194,0.4456019301246925,0.2210470023501797,0.3702627266141777,0.9648623681340617,0.8453749280744944,0.9195876218079109,0.5008638554437627,0.4896689143440459,0.5655277622960208,0.6753238627867242,0.6033923618510237,0.007064870503493359,0.5050290291967345,0.48692194261613064
turuncu,0.24795396014211757,0.9907325246975518,0.275017682896054,0.9073644483060835,0.03593354258777992,0.04110823816635201,0.17737559458321783,0.3518752108001967,0.5432189161720777,0.8814261202584378,0.05472165199593426,0.5851617471637927,0.006996981131853541,0.4437839611603913,0.5990737832622235,0.9029596336087143,0.6317689151589175,0.45306318591963235,0.8094259091860798,0.47414678310278846,0.20298137628840052,0.5531251443332682,0.6161515255596963,0.9237050305951834,0.038675560032358836,0.06890648921256903,0.4524667040753302,0.8877063671393954,0.5118033900998018,0.03544384148406288,0.947801373950964,0.861912838069383,0.588148889470496,0.7385088183409032,0.3999467881235792,0.028089956084472067,0.7169791954510606,0.17417211917530928,0.8586400089753697,0.295889668444977,0.1798871533976758,0.8502018888115741,0.2548745165192545,0.2560644966322273,0.47718334290891173,0.9505500504160397,0.056315990104107705,0.5970830422077729,0.813257268032016,0.9655843050325108,0.4839220321778802,0.4375527146465503,0.6391385811581443,0.6579522164365839,0.46557978764947716,0.7528951969666217,0.22629668384552482,0.8312834912408492,0.6862028344782051,0.238036292502249,0.05094625802845909,0.7946994408996462,0.5448600465713073,0.9330598505146032,0.5802642804805134,0.2853036235077099,0.8656978759002606,0.9152278357252337,0.9309243932046991,0.0027617809652634717,0.8164921393312444,0.3167866627533017,0.7826498616114651,0.9778023576586036,0.9922333474684701,0.08693840557728039,0.24626852782422692,0.6879947783334333,0.13078959088746722,0.4408326148877373,0.4259817520642275,0.4930340715556383,0.8972596579347439,0.04727982696760502,0.4940277083260399,0.679768178261499,0.7616880518060434,0.6895699691225249,0.25997531030353127,0.25628436811016364,0.8573536553306125,0.6837820767955299,0.8989315264109672,0.04854596105266262,0.12704244858725433,0.5615496651400965,0.27200546855829644,0.7461557259275152,0.29417629220484887,0.49047552011587603
mor,0.6692477818557943,0.23959019547856153,0.013621055473797439,0.8841562968323328,0.4418069644943827,0.8997260814475608,0.7845141010449227,0.09526547531640583,0.648706397910055,0.13666613291010188,0.5519334469783648,0.7474869024657721,0.1080912077221926,0.09589276743548147,0.13466100599452768,0.595634673810525,0.18009675639179623,0.47133297721033196,0.32980362127477714,0.6053600419803681,0.3866267670788679,0.21308150499701095,0.111663598944299,0.06609438869627349,0.0022809467148763307,0.6073731526634443,0.32798276586973873,0.9635360175638227,0.5845828042078978,0.2666420729327251,0.2111058728619012,0.36984395678126003,0.7588426340666635,0.52091807550752,0.4259357305884759,0.6825860667035037,0.31707365088409944,0.09152876943077859,0.07811787535036363,0.42804896349182964,0.5323863705169947,0.4462440273527082,0.5792000475119181,0.07209114333203603,0.9195363612058838,0.27935657356425536,0.08408480166645571,0.3748241960037889,0.44931684654780046,0.8733097809519375,0.5860233154382338,0.8974344241823743,0.6152799536871686,0.6104828825746181,0.14792091310983724,0.442885936929317,0.7992205193360389,0.8640884750067752,0.10343809147967098,0.047845996340003194,0.8779554125311192,0.1396065013875153,0.6349976656310418,0.5686968485247622,0.038502499406876334,0.2889120740449066,0.2541336215524723,0.8240861190911477,0.23687905552329125,0.21265849680782,0.6988539465225566,0.6197317821523577,0.7138557170730504,0.5344621492246938,0.09288196538435634,0.14153959165124252,0.5130309036601325,0.7566437691243857,0.6635624452234906,0.48461566970621195,0.6086827492004643,0.759637690035737,0.024692624471645663,0.9197164375727572,0.22979142257841734,0.10608915415018427,0.6349820934842525,0.7345442385846539,0.7493266636879214,0.8700749555441392,0.17123138739421906,0.5101028516519144,0.729027667659157,0.921416612295728,0.2608700930227642,0.7022430901962247,0.6600464062247641,0.54428205011945,0.005970609841036478,0.24865296705893025
pembe,0.7290408130201614,0.35783986571971615,0.4909599829653024,0.3831628679546095,0.5787394381181123,0.022942519961530294,0.512477114198983,0.14348354965055377,0.7886471645011998,0.1900813960063219,0.7657878241788724,0.22084847366420302,0.8394142848507139,0.01263456194345114,0.3618004091795526,0.9684637724864444,0.10969466010797513,0.8291850624245001,0.730789077661142,0.8445374982070817,0.5045351482830612,0.4997321916565448,0.03603694428293347,0.4561208084373154,0.7913962165502777,0.1405135621970991,0.832947933597308,0.125914720090045,0.05883357835289127,0.10484984152222165,0.3022508189683507,0.7846106950054667,0.7434170053892645,0.9203250234848164,0.28138772434454384,0.8671282115872138,0.294934870927846,0.946835726864206,0.06365335438521569,0.6371473958081849,0.9568474076881054,0.041081311592950254,0.4297681359698715,0.0629255340834537,0.1983826581309498,0.9745092175122877,0.6036980054779024,0.23165116525690976,0.2352974209648706,0.9949295672920647,0.4545157903823739,0.5954008032781973,0.6191310645592751,0.4518686844122056,0.31450261818055614,0.9630095915976462,0.5254505164104526,0.21011137720779083,0.6860928384918595,0.05927269075089392,0.5564225118186618,0.6654871290943101,0.28276203457593274,0.18628271033734067,0.9016467068378512,0.86911214575165,0.5399204081483834,0.3691499664875233,0.7042364390145466,0.13033316626092517,0.9834364151402304,0.23642655041064664,0.7306566040235009,0.40996320105735873,0.9987528033533061,0.31428052183821564,0.4789890015664625,0.01042277099962996,0.9700288796662689,0.35630745419804255,0.5053313581201895,0.16291722211137938,0.4964418722079271,0.25984616347865397,0.6516839654879433,0.8446291622643186,0.40093148796562106,0.9276285178630076,0.4539111096865548,0.14261456143951934,0.7446974036092303,0.3978264256471902,0.040038543945618565,0.19754989765380615,0.3513923401322965,0.14482718987973797,0.9857939077348066,0.6056914735959884,0.814400692894038,0.3311372056199534
beyaz,0.28594389768615136,0.8428089643878582,0.6426413649665055,0.2844718361661498,0.3354313300227032,0.41190014143900966,0.3432941229431763,0.16213594473092297,0.3419031876568691,0.40538308136850565,0.2774600060603387,0.6017932386222908,0.2721946714266118,0.1353983368487056,0.3227190645091855,0.6409402039979385,0.5758242919431814,0.7646763769063346,0.06186458229736658,0.2771003569075674,0.23441463271548368,0.51597855544191,0.9301718145665546,0.3073768865404475,0.0888376388808132,0.03220865990923871,0.4301450677298443,0.4338631536451534,0.5649304224552639,0.6178880230175257,0.8182026546399305,0.7601566043124982,0.9058786462278632,0.6607150226022616,0.26073759954647113,0.12968176319463431,0.3764602562800735,0.46511195328185195,0.8431977476871753,0.17607426449627872,0.11875470243778008,0.3640338025855989,0.4988998281833429,0.006189445049776476,0.034142729492405044,0.3572144416045656,0.9618799063703188,0.3143718811087106,0.1434935031812441,0.7022552168216635,0.2598771151012603,0.18750279020899485,0.11162243257778048,0.2895871672183865,0.0852422876292045,0.2754582331633473,0.15785904474341939,0.7813579545216384,0.35486273959417236,0.8231155840931997,0.28393116592910195,0.30826944908748943,0.008507460827787972,0.7052308808420723,0.22011531403074458,0.5596051515571172,0.0904266012818421,0.6177292715532855,0.6092674980677879,0.2941292347401755,0.976256869996683,0.6785986732020536,0.8319433651163487,0.9865239711699885,0.7758522563657791,0.0225322133318151,0.483591911401278,0.8435438945974729,0.7335046467410093,0.36137886975648015,0.08934808059929966,0.4487702887421513,0.6416012526666715,0.6374749034622327,0.15942658824048295,0.9173452303133398,0.5213978722341496,0.9150542453805416,0.24026035323162376,0.8236166272372704,0.8349445458360023,0.08981420532421136,0.42826316086033134,0.41494475597496927,0.044688469227189165,0.9287092531696315,0.18076696103114687,0.0140785894419716,0.3208055530651125,0.9613018527843588
siyah,0.1245863181861605,0.4174496590737722,0.8082507073924851,0.2492915885033914,0.5314814137701086,0.07309734182898764,0.4154485493199711,0.6883115960777887,0.9756865443142075,0.6320969199603296,0.7758621392602648,0.5292227789070141,0.8310489957380027,0.037190581585999194,0.3675391874948989,0.5823982871131427,0.6788576661678468,0.23197626045101116,0.8988632674671242,0.6060959095531239,0.9480452082398586,0.48102492626633064,0.570181940245836,0.9753390236787538,0.4205094703987994,0.9672095700829951,0.04868775977253681,0.2409829616910244,0.31837123328348427,0.013861938311294009,0.36607084909922827,0.6199801397170078,0.3029190720753814,0.2863543501337077,0.207426027311428,0.938487361672361,0.08394488302290526,0.8179541002656167,0.33145875388268464,0.4010161045338768,0.4928455744421707,0.0921828866877834,0.7593012917920109,0.8575814318732593,0.4713927280207826,0.6694921255916116,0.5918857018424871,0.010551560411373506,0.4708210349945381,0.8651613362642734,0.48620828854109155,0.9279284703641706,0.7461565692695163,0.9627120549996285,0.3587373309853782,0.18616084732165028,0.702456105142855,0.7998372145151156,0.03301230772033148,0.7734591963787185,0.17122244354371396,0.027303320326818592,0.27076251110927996,0.6799955152173089,0.11193896730545694,0.2441444071439055,0.17202474412617774,0.5097341612705995,0.22796710996902614,0.5074838203299029,0.7469731461346089,0.38539736184315143,0.2804890608460854,0.6221812789354718,0.04183494123038756,0.37330196166257745,0.6256191297774057,0.916714745617467,0.5093870263495066,0.411283862237279,0.4355676492631275,0.7636554071668408,0.5890375305290715,0.766099921419768,0.46226576090087923,0.5576552662270203,0.4510521151968756,0.8933194936378944,0.9170783813281796,0.9314643574827931,0.21065600324796174,0.07009060104940368,0.9314404744759216,0.488633288430229,0.5688118847693304,0.4881846834407302,0.34228378974115803,0.3329424364235867,0.09437981467798706,0.40417743110669113
gri,0.3965551751878893,0.49182390823548294,0.5339094512973005,0.7707187235798797,0.8315243649254465,0.8222137813435063,0.7045417856715065,0.5686521806747518,0.012312355539432551,0.8788941654130258,0.8008846155326214,0.2883434439069217,0.5414482276406416,0.39480760868061804,0.9243298569365023,0.056450507291973095,0.34125209573374793,0.9103989455649545,0.9455981729410777,0.4829562551507526,0.5301067433626534,0.44426866095066675,0.8397674889568809,0.2799750384397557,0.28894919919230555,0.7781335548172787,0.4472133563728149,0.8984715458110799,0.451408147623067,0.26879214313703725,0.8838186721262429,0.7777829378476587,0.9803866907535274,0.2871239818247553,0.7582359142715573,0.2623848868572073,0.8369021908395542,0.01665366663491652,0.6003470472980841,0.6268996927791359,0.9465125472907359,0.3616321661801106,0.7747756918512587,0.7628346130070099,0.3323199911730662,0.9863226691559982,0.6773718891995149,0.35659821420569326,0.254602978711983,0.47388014228334996,0.11518002285732232,0.9794323409071637,0.9226273995316242,0.652011964841116,0.5463557024684312,0.8765974325949689,0.7750449152913791,0.8073688016406073,0.02904277904736252,0.15288550023240555,0.5783512853805761,0.42699185900889414,0.7130904646370115,0.49925096518081036,0.9421885324979647,0.5731141076632235,0.15325378142046409,0.590558162736611,0.780238130137827,0.0023616362868631446,0.07255354329737207,0.5605782029738414,0.17591649035782053,0.7805848731178263,0.7673080242402173,0.9363487157074334,0.5620990293635137,0.7988393612333203,0.17653592531733264,0.8005103413447481,0.10933831699598417,0.8857833426621471,0.2340746356975839,0.1655449116192561,0.3778353821506253,0.9311600955718602,0.30375596565258844,0.5238134050940397,0.45549682405256164,0.87065599352199,0.29470371165008336,0.6825048541878594,0.6050987133345154,0.0016003562965770657,0.8658417127967202,0.084622013727216,0.6330570717725197,0.15867036516715372,0.5915792606603595,0.5050722361839269
