word,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100
kırmızı,0.7111074872209112,0.19152326094543703,0.724643491251336,0.5176351249412288,0.6472436506813868,0.7431626120661178,0.10279620427339475,0.8875073171378667,0.3815938309568174,0.7767043101448919,0.004830963484185213,0.4285391781448388,0.14908488403165254,0.5656509537829479,0.7467231094428037,0.12045499192391385,0.18065430321754905,0.975621735639489,0.6082551620134158,0.8108766525839732,0.9753432638312561,0.779637394201247,0.30511076707627227,0.8871337960940457,0.14349381546682738,0.40725340489028106,0.5417735936647065,0.805819221728331,0.881770252235673,0.7902647851664545,0.9630482097207969,0.2959756193223807,0.37046124213790277,0.11532944285082825,0.6947804498373285,0.2549760543337235,0.044281704284274914,0.08715322019262073,0.8122415549844115,0.08955704286140964,0.32454219493514025,0.3287823871793645,0.5269796399918514,0.7911108111398124,0.42514952134511697,0.5114828916640043,0.06646457924060012,0.7491819324823642,0.1347324118768165,0.682631501116179,0.4446129352554855,0.6453999626895622,0.7039677903079716,0.4352413100945647,0.5400904211508762,0.10023356803331018,0.6918039889860471,0.6329923761402445,0.6110758066636567,0.7213726344303031,0.3457265586331315,0.15492855713862475,0.8245895392571391,0.39451409794407866,0.13466955671329361,0.7156087867878991,0.38076186333470685,0.5886087643920915,0.6376444993032584,0.7218775843529134,0.2724750506537117,0.4685192151023354,0.11701524033821575,0.18144657469653946,0.2613523512057394,0.8074563249652004,0.2770717093962669,0.3011797176689356,0.7606508654730925,0.8901450840725527,0.39787120502440343,0.291391048244529,0.17811424055706981,0.46870661162379557,0.05901256120909126,0.5402097075856829,0.651731604822286,0.3357454526079887,0.7468954222440313,0.8345090109898431,0.12813601596091806,0.29601442301751435,0.8832024652319922,0.28579458441687366,0.1042541723342757,0.5514737678379666,0.9593979888035088,0.3783823679479391,0.4616830777362573,0.6423832232812858
mavi,0.9366855192810846,0.7901660119070845,0.09279730838147604,0.49717597780118583,0.661396155225288,0.6864822227470769,0.3694362696669109,0.983435299626206,0.42516896892234757,0.04887407677173461,0.4148474508708644,0.48627546150685674,0.24254127756173993,0.799579855486096,0.8961535616585802,0.7618845700385044,0.8661244063809841,0.32845580807290786,0.42696920443458686,0.41375797856785435,0.5188950876214433,0.8983932533258283,0.5261055156587596,0.2543885957870613,0.8286768397247503,0.5808631040141823,0.7771409962184846,0.255240306829254,0.08268297637223532,0.1673698743526123,0.16759290425004503,0.7868665286784723,0.9129582463851644,0.4491167955643134,0.9650313158853612,0.1613431224534051,0.4161383443032256,0.02214755124101453,0.8621743970579465,0.6734870748379276,0.5545068558119879,0.5803897836915523,0.27230230414489376,0.026572953232132268,0.6368517703668705,0.673706202033665,0.8286080126158412,0.8945538253981986,0.0854231963006894,0.5180071624588246,0.59127923100027,0.5355675963483494,0.3586148750911651,0.918947505614821,0.733169712594831,0.4880545058008353,0.3986249019328537,0.9077130079485726,0.5775417886835504,0.1836723410239236,0.977136217246101,0.41526608013847377,0.35347054186045956,0.5280524826566547,0.09573003947661052,0.9095449065007923,0.5709006626903784,0.9054629623227698,0.42433672098926,0.1733280346548811,0.02492074141857281,0.8526774720929159,0.6555552015910181,0.6735953196664379,0.40735689189944047,0.7012844132062891,0.5678243513372249,0.8007427954304704,0.21359648647988938,0.041713256519949726,0.7075852116405543,0.08017951542421375,0.5748886821485231,0.06929566951655364,0.06053591389057511,0.9538177441069999,0.037893416820330095,0.4684959329459474,0.3631939597634004,0.08409010086459934,0.5202738161266163,0.5546400525916609,0.9685363793657022,0.25891591034796135,0.5436767705933221,0.9766348724256276,0.48320504640460304,0.3614572622644039,0.7980156444148563,0.9669229751437409
yeşil,0.4828403806374557,0.07215260365855114,0.712786601702868,0.5264374012949476,0.14255490754447708,0.8508110040326786,0.04160481711433828,0.7369938498263201,0.08182533094606359,0.4028191417169482,0.5067359750289309,0.8336144124607126,0.8017887552058899,0.154603932347689,0.08628636730844108,0.8143122920371227,0.5123975131644118,0.004475325926185714,0.7990985948803758,0.5078443992106898,0.8428870449540475,0.012299439465479511,0.8125805715223603,0.6666433582381085,0.5489276514075514,0.6993113576685991,0.7556069827710769,0.3313701107143172,0.5369119919106015,0.6086794231263799,0.11442940495240195,0.9934115783684423,0.9828319837502776,0.8325803379951053,0.543610597078034,0.14783756237593337,0.6406784654642005,0.6427863121653296,0.5317257949840939,0.869855018781572,0.4080635091718898,0.3854477845845339,0.6806697758043833,0.21085586622709906,0.11295340044237923,0.8776779443740053,0.4176262260811394,0.2549218121393375,0.26497011288147165,0.5971142204176876,0.9197913749830409,0.52092321456054,0.22322887047747975,0.49361280629948967,0.26950584877820405,0.05912703474543912,0.2288236598715554,0.21898241893454362,0.5760142364338117,0.8270026219905953,0.08056888901185466,0.06942536564913127,0.943204218795783,0.7028457689932254,0.0327593386184758,0.9180887962176093,0.39598918986047327,0.06314901156027541,0.06491858187706812,0.549381976284036,0.6417362196606936,0.14228269620692757,0.036234897877145844,0.21877203381866672,0.12044323069104923,0.1340922265595884,0.21243688895704071,0.3684992923499849,0.38151575895125345,0.3681020693219612,0.7472169186504084,0.4482593906229705,0.5948568043958256,0.10602519603147309,0.9881798578395709,0.17064598422945743,0.04997844140540375,0.7835631931840227,0.1836822444572287,0.800174048072076,0.8966995404411806,0.9792241024707478,0.28576425054629706,0.1828544915959357,0.7151186153114085,0.9072863458646133,0.5111948501099545,0.25845865400595813,0.18653199040674318,0.6989064942635748
sarı,0.03924500586174606,0.27021024916460934,0.17501121320681046,0.3233977759916523,0.19866701012794563,0.8925294172778448,0.0034664884957120723,0.20338639967741523,0.8765365120158003,0.13081545126684702,0.6572515235586737,0.6941899108376883,0.9534115644909181,0.812330772090795,0.837150661144512,0.5360312929158914,0.18752178133520347,0.9646036569478127,0.1949776166430669,0.4607070760942268,0.020758520364128397,0.008147589035752856,0.43199728792117675,0.930717260288525,0.9090922625252356,0.9524733633253614,0.05871258254889733,0.285362587686923,0.824536960679912,0.4502796467826091,0.811491513757798,0.6442180527059689,0.9822874355979186,0.102293423045408,0.06489964033494233,0.06590546636666306,0.9374189456783546,0.09886234414895034,0.6481211962244333,0.8481506815562692,0.8609860394434665,0.6823903351824043,0.6908594916673262,0.004244972803808533,0.9772084893168678,0.4251997207339717,0.004213570398864719,0.2749109252337886,0.4144522860219497,0.2995215589545863,0.7851620669800939,0.6843245969607052,0.1296376367096853,0.8237405767571074,0.18338960630996481,0.34986703823560406,0.477397761195125,0.5832161334619085,0.21639097036502608,0.40759476992176846,0.7369575269536377,0.7593260759368315,0.19766542946623067,0.5825493252055994,0.24156949798314253,0.6393902892119405,0.7258511194491756,0.4119887521884934,0.49655810607107265,0.676243325339457,0.18356325749051783,0.7529025531929564,0.9455011217995902,0.6343925530794924,0.6862755848638722,0.8659822927950219,0.815027974240774,0.9462205215932936,0.7040090330542507,0.5838538371537807,0.1450583578447604,0.21444741231009123,0.9442998969689798,0.5733295724904031,0.16305355195042692,0.6537678973415489,0.5317115122211201,0.6986193551460363,0.133917981395151,0.05297396920568431,0.7430740955881411,0.6419800432832121,0.6679341849452741,0.18426644600945252,0.06102294523602503,0.366841410766648,0.1255710031547539,0.01056441195890645,0.6828228149581663,0.0892558460313927
turuncu,0.11747882973444823,0.29809268664879374,0.16110274093281418,0.3850752572521997,0.21255824275600554,0.42861385398796514,0.5457905027123561,0.8340790383390838,0.6036019468078737,0.2790029267910562,0.25114402840149663,0.3639693769793907,0.6346602685895308,0.19833378570748073,0.49819066982016236,0.8815498406609095,0.09459120992030268,0.4421378017695048,0.5967291149861466,0.28442687637344477,0.04400260224769181,0.6644267611369149,0.07417897246332017,0.8128532553640795,0.4553853862548892,0.4588243782442203,0.7103077689562339,0.2318488412362345,0.6172383758387429,0.3728872182232388,0.1393476964942325,0.24306772283242484,0.6895093024789244,0.29197916996555695,0.07449765781745865,0.9108905593781027,0.28830641274258306,0.4499392257085415,0.40544978767995943,0.6164567201767387,0.556349445835151,0.8593806298102156,0.7673996987593918,0.6773071867861903,0.36524316961376024,0.31470479279034513,0.19995247725271548,0.43891988821500405,0.6251960812102234,0.7474900637457226,0.32147564157236697,0.9313903671672215,0.14736242783100384,0.5934976896513668,0.6667782018681566,0.6290697887359358,0.8079357250281192,0.9544132632036727,0.02281910716967528,0.7153888770825302,0.42446273889776787,0.6140703508214427,0.9736831266235014,0.5350763035545676,0.8254796505514421,0.4751923048791673,0.37144442156443114,0.8306434897400277,0.40307148951404204,0.43467323714357453,0.3720527247019715,0.14738880457161696,0.7722369127453143,0.40654378872818564,0.2473434618493,0.054677187399947313,0.4511315378739783,0.04984179254799026,0.11682299035705934,0.4734964005594292,0.3457933347348824,0.19412745551363841,0.20124059389670546,0.6424643367467864,0.11675012596958934,0.8579364138345189,0.8087220411774766,0.9881596988372028,0.6998809278871689,0.40811455724427625,0.13201652918275297,0.498647521142642,0.2497871038755375,0.6135184573883915,0.2577497394884851,0.5954389251845326,0.7386023110184715,0.7579895650410039,0.9878617696016277,0.07238561636201457
mor,0.6235454395816538,0.49953279308549314,0.528245548636949,0.4805443815679975,0.5045248852218094,0.13684114112997203,0.49177755789133504,0.6200573691423759,0.14416672919742857,0.591334925660406,0.7951791516953414,0.01703718503122953,0.6091489392235215,0.09518573628111004,0.1540519234122748,0.8953787468126727,0.37709250729580224,0.12619104586849084,0.7719261493797871,0.5393910119881052,0.3576902533190698,0.1711838387395722,0.4863033505376544,0.16317552373780253,0.35328537208770583,0.4458084223295685,0.821490725155082,0.8594559056173181,0.649287770992288,0.6098624156413748,0.19432381208100813,0.19865027594768314,0.22833764652739108,0.7736340219256541,0.38663217340522515,0.9216273539776739,0.24394848066114128,0.8597447990405525,0.7343887005219915,0.8478176102798031,0.048248799023014044,0.26218946831085255,0.4217395944436978,0.5513341043819344,0.9212516776617328,0.7049303190197324,0.7462425602515375,0.16087046970363839,0.46900724433172314,0.9119095625560597,0.22653453960216285,0.6415889440242528,0.7605544973553592,0.8160055421105944,0.4501064940148193,0.9455220498657614,0.7260171687828506,0.1992813890874645,0.8560634732379225,0.5255884620787906,0.6389825658234451,0.9772303841277264,0.5827877658516492,0.3279323715703365,0.015474945532617634,0.9292157467687682,0.6802480139350517,0.5120383345115852,0.8610974914412961,0.7617893919574837,0.11385102089363952,0.7184024124505208,0.5533812232236448,0.4748805292636754,0.6032028541173704,0.7791250079067256,0.46340651792436816,0.22558697608505818,0.48019738231009845,0.6082247157089566,0.995994432486286,0.21199274604998042,0.01856641059418096,0.7633805785460023,0.35539126716667624,0.06301918455281486,0.030470358890565374,0.9676910240585683,0.7125815554182973,0.4864350611675522,0.47402956557781506,0.10330391550699025,0.9030327397588683,0.8385696275453141,0.6789150799290926,0.040332473801804936,0.06598237607692581,0.6392764994607045,0.10928180679089416,0.029258831272289787
pembe,0.31971829036451804,0.36930422224480763,0.15396692865318096,0.5398548111368133,0.6522965923898518,0.019576858518593587,0.615075324084237,0.9963865257261653,0.4819107236094856,0.6502043637060939,0.5361485347655258,0.34992060224111465,0.8636617600994752,0.7944135192258375,0.7563031272133832,0.6906948231490662,0.5624226091004091,0.7565403364385717,0.06443922110162137,0.4307033619027999,0.1955634805726989,0.3557281440021304,0.20969334558734476,0.7176895156466894,0.6717391607838161,0.2923132090592361,0.8865109081133664,0.8230748849808912,0.08520036452961921,0.14844877392348776,0.4745208434110513,0.40510391330160667,0.0994410663601234,0.5234645879916197,0.22479083741863926,0.8686085994013514,0.690647113516106,0.7436995861153347,0.6996725339600764,0.037104737578785074,0.024770308672308117,0.5342246022894389,0.37427635115825864,0.5095789262382386,0.7584117042927767,0.9209865726120016,0.6928611944582972,0.4250580760359881,0.4511190270469244,0.17390465850085413,0.9713881633821783,0.21115928656721272,0.1274361218799398,0.22359087205496042,0.058478827820435675,0.39478449970643426,0.43207210219029724,0.1754198751714594,0.36167481698473936,0.44742684496835605,0.3059323507491615,0.24957006093375556,0.4334930282350238,0.24420525941186833,0.2421633434987326,0.9644305303035883,0.6208970476208188,0.7460420487371877,0.822714716896885,0.6006765053700427,0.21407634435007816,0.4364266736468404,0.9162619740503545,0.8538885010436995,0.5772531147268594,0.49192417125540533,0.5436726028850583,0.7114572565335507,0.952967346043357,0.9049409003624954,0.3720877928726265,0.48576754228080055,0.5991444362626421,0.40997209046892,0.7986852249860154,0.4621692768003606,0.32019408260843196,0.7821100165608966,0.999552725980528,0.2500846884190765,0.630426184196657,0.08453291896472848,0.24390873266495494,0.6062230344649621,0.12635044925695216,0.27694019068701214,0.7110763470762603,0.36649601719546876,0.7839268467996539,0.7119111126221196
beyaz,0.8989591215352771,0.19687507841320995,0.7926941289314748,0.4838476584542267,0.8899990286730776,0.41925703515911794,0.2635969120740326,0.24630693259330183,0.7497395304063171,0.9321752304825351,0.6100967919574392,0.8981591829796886,0.28192937129294493,0.7885631408963121,0.4076287152819771,0.8629422289195163,0.6239813045270739,0.4368640654192575,0.6321774216346898,0.08235298655603562,0.8622928853918923,0.8814195309077386,0.6806356943447007,0.7387764986428318,0.5315022479256376,0.9106862299709036,0.7321491123528887,0.7541039278012517,0.40708829249808576,0.6448762210585623,0.18447313013382993,0.3904507278818268,0.07668866289351917,0.474000947235241,0.16603658089243867,0.7470993364423469,0.2687433791078674,0.42291991665217743,0.455409169423002,0.6703090869250198,0.3189606480010384,0.4751524125582023,0.07871993591747128,0.6367192477392961,0.05667584882519516,0.2508342803705075,0.17225771778572974,0.6435796674569253,0.6703276279689652,0.10876473985596269,0.2916490617987122,0.7444762054752332,0.04893835314406547,0.21415418674096254,0.986428516234972,0.15156549091967952,0.03116266632355913,0.2623020654473227,0.23074357941677892,0.9181738555204728,0.2375953764407318,0.6783941657187944,0.9654496934139125,0.6097080721248284,0.30267760417897926,0.031412465781059495,0.8472602418589348,0.756704215705028,0.6959828926619244,0.10874262768321497,0.4265566823341149,0.9570680012034738,0.05130230101555344,0.025198931331476215,0.40886604324163955,0.4301348363824169,0.731447964758954,0.9797076946545075,0.9085871379263032,0.11549793213466897,0.7685403168401916,0.605487494085696,0.5921019299701634,0.9308088399928724,0.20581807518030915,0.5769756243330864,0.4139107099628492,0.3894163102049608,0.35590899158604894,0.8191523074195298,0.40669143999491975,0.8065570940330192,0.1308694469683812,0.5751033388942756,0.31425948657117697,0.8866787777686245,0.9880313218409297,0.3409114074486289,0.0962958216871087,0.5701692175042298
siyah,0.33953147460278477,0.7515308084293716,0.9238283089774788,0.05086548866209062,0.400218713657177,0.2532809899974725,0.9080174354281063,0.8154665471285751,0.5219425739585966,0.4344983549630981,0.41764948370303,0.12793641600905858,0.8440330200410608,0.23418595915089935,0.837167742306878,0.07746249490188462,0.3216103175412889,0.23034443607114297,0.6108417815820809,0.21232625234171043,0.08942042960120733,0.9975936203244856,0.40472648266642997,0.1041551980442057,0.05320463179574242,0.8382660962015626,0.7098968386060022,0.511385374535272,0.22525554403771686,0.8471090621441436,0.7446797528821205,0.9646312257023585,0.1414136606528752,0.24057219564818588,0.33710296737046574,0.5173098685917913,0.27896084569249135,0.5750874079833805,0.2749460401294328,0.4290283286012647,0.6640306699481501,0.7242995919543316,0.15882175495155526,0.12559664711344964,0.40751377871160543,0.8850628313783454,0.6407849454771226,0.030220234943670765,0.11043070296231416,0.5600398671971584,0.24804853192170717,0.4035438527384867,0.5025594836074274,0.8132382047395961,0.07287800500867725,0.2558337683270202,0.16188055586539152,0.7844294168433221,0.6151995368847774,0.6059835606794212,0.34301815673490954,0.18993752070998293,0.9289597710162613,0.659683776313587,0.5969838120151307,0.3169061103854579,0.12588924104619126,0.6307840424083653,0.6853538061263714,0.4550589463689825,0.6833065750320507,0.45040363429964003,0.4501070120695727,0.7509888098910207,0.5960264025183876,0.7570041932443394,0.537088947615934,0.8742293095793713,0.21339006941610006,0.4140190835193982,0.7591996239262198,0.5487778493605339,0.03762240610622314,0.03598794228248292,0.8787968272925033,0.09219810835577813,0.18881476757582027,0.40254135186584683,0.22491331785467317,0.39873981038048234,0.40259231286509367,0.9169004099577054,0.04523864083607698,0.6861673087068078,0.5135493556891053,0.37720767886509265,0.41484586196232465,0.9085174967095554,0.6902875989301114,0.7063630987099317
gri,0.5574509986598608,0.8677150417492882,0.6552271960958741,0.6505481429471187,0.4660790881003194,0.36145264297617785,0.5403731797434458,0.8631063413532402,0.609964958292034,0.47026751442462933,0.8119985277457108,0.6370973795396355,0.7350543283621693,0.8074016011051959,0.05964627563918956,0.041724178250752586,0.9587943993366308,0.7252239934130545,0.7547072525362348,0.5285539138003864,0.9557638922481756,0.6873208308689076,0.4786134966788901,0.5565208309386007,0.7705850812835329,0.5473256472464434,0.9519279906685625,0.5130667435760432,0.7886731910044814,0.07805629157834848,0.3841505870619246,0.7215081540023183,0.8482836124017149,0.23608686151010916,0.37500596354762916,0.775937714212144,0.36240946851635514,0.8836966496890266,0.9644255319283905,0.18251140472572935,0.6923228356371652,0.869777342362387,0.6083778828438311,0.25072919345782374,0.5502026291408911,0.7874551554444551,0.21094214759830487,0.143495087457022,0.4814690713038141,0.5284353316285048,0.9756896850369812,0.044762237560571516,0.7861183779813308,0.6980353951882433,0.189213142439146,0.9147319598378992,0.21140848031702708,0.7865644558500987,0.8992295601282221,0.37580801003600695,0.25700962381718784,0.7288610072864412,0.6503583619406555,0.20230725437315022,0.08848859434030876,0.4207300189114478,0.11901564469004977,0.7446458498059773,0.23321809686881545,0.920200910409697,0.5836208334633234,0.4624431917199746,0.9304140740610826,0.7191338976153736,0.8702443175994846,0.10765619036944107,0.286922447699277,0.23657493122680795,0.5263913146819734,0.8440321358484758,0.20435532956282954,0.4789996353747926,0.15259042498100628,0.8064559655270486,0.7033010301456714,0.6897457731184403,0.08817882625726703,0.9824670173994553,0.6824058153341328,0.5897812518922909,0.4220490862286135,0.5214645298833485,0.8055054371993585,0.45704248056354224,0.08444198422224747,0.328601972833131,0.16798700492369234,0.761665391111062,0.6098174919152015,0.15233411362221327
