Belge,100,aday,alabilir,ara,asimetri,askılı,astar,açık,basic,baskılı,bej,bel,beyaz,biri,bisiklet,bluz,ceket,cepli,dantel,dar,deri,detaylı,doku,düğmeli,edilerek,el,elbis,esnek,etek,etkileyici,favori,fermuarlı,fit,gardırobunuz,gardıropt,gereken,gri,gömlek,görünüm,görünümlü,günlük,hırk,içeriğiyl,kalem,kalıp,kapitoneli,kapüşonlu,kesim,klasik,kolay,kollu,komb,konfor,kot,kruvaz,kullanım,kumaş,kumaştan,kumaşı,kırmızı,lacivert,lastikli,lemmatize,likralı,mavi,mini,model,modeli,mor,nefes,ofisten,olan,olma,olması,olup,omuz,omzu,ortam,oversiz,pamuk,pantolon,parçaların,paç,pemb,pileli,polyester,rahat,renkleriyl,sa,saten,sayesin,sağ,sezo,siyah,slim,sokağ,sunar,sweatshirt,sırt,tasarım,tercih,trend,tshirt,uyg,uyum,uz,v,vazgeçilmezi,viskon,volanlı,yak,yapabilirsiniz,yapı,yapısıyl,yeni,yeşil,yumuşak,yüksek,çant,çantası,çift,çıkan,ön,örgü,örm,özel,özellik,üretilen,üretilmiş,ütülenir,şık,şıklık
Belge_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belge_2,0.0,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368,0.0,0.0,0.0,0.0,0.0,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1169,0.0878,0.0,0.0,0.1393,0.0,0.0,0.0,0.0858,0.1037,0.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0333,0.0,0.0,0.0,0.0333,0.0878,0.0,0.1368,0.1408,0.0
Belge_3,0.0,0.0715,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147,0.1078,0.0,0.1243,0.0,0.0,0.0,0.0,0.0722,0.0,0.0,0.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.0,0.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1156,0.0,0.0,0.117,0.0,0.0722,0.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.0,0.0,0.0,0.0868,0.0,0.0,0.0,0.0,0.0722,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0715,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.0898,0.1147,0.0,0.2693,0.0976,0.0,0.0278,0.0278,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0
Belge_4,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1213,0.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.3078,0.0,0.0,0.1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463,0.0,0.0,0.0,0.0,0.1306,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.1301,0.0,0.0,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1095,0.0823,0.0,0.0,0.1306,0.0,0.1118,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0313,0.0,0.0,0.0,0.0313,0.0823,0.0,0.0,0.132,0.0
Belge_5,0.0,0.0,0.0,0.0,0.0,0.1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252,0.0849,0.0,0.3237,0.0,0.0,0.0861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0861,0.0,0.0,0.1131,0.0849,0.0,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042,0.0,0.0,0.0,0.0,0.0,0.0323,0.0323,0.0,0.0973,0.0,0.0323,0.0849,0.0,0.0,0.1363,0.0
Belge_6,0.0,0.0,0.1204,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0974,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.118,0.1663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0761,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.1172,0.0,0.0,0.074,0.0905,0.0,0.0,0.1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189,0.0,0.0,0.1204,0.0,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0286,0.0286,0.0,0.0,0.0,0.0286,0.0,0.0,0.1172,0.0,0.074
Belge_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3417,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.1393,0.0,0.0,0.1564,0.0,0.0,0.0,0.0,0.0,0.1368,0.0,0.0,0.0,0.0,0.0,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.1034,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.1753,0.0,0.0,0.0,0.1393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856,0.0,0.1077,0.0,0.0,0.0,0.0,0.0,0.0333,0.0333,0.0,0.0,0.0856,0.0333,0.0,0.0,0.1368,0.1408,0.0
Belge_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129,0.0,0.0,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.0987,0.0,0.0,0.0,0.1129,0.0,0.0,0.0987,0.0,0.0,0.1713,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,0.0,0.0,0.0,0.0955,0.0,0.0,0.0987,0.0,0.0,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955,0.0,0.0,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.0,0.0,0.037,0.037,0.0,0.0,0.0,0.037,0.0,0.0,0.152,0.0,0.0
Belge_9,0.0,0.0,0.1317,0.0,0.0,0.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.1035,0.0,0.0,0.0806,0.0,0.1317,0.0806,0.0,0.0,0.0,0.0806,0.0,0.0,0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969,0.0,0.0806,0.0,0.0,0.0,0.0806,0.0,0.0,0.0,0.1095,0.0,0.0,0.0,0.0,0.0806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0313,0.0,0.0,0.0,0.0313,0.0,0.0806,0.1282,0.132,0.0
Belge_10,0.0,0.0,0.0,0.0,0.0,0.1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386,0.0,0.0,0.3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.1492,0.0,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.1183,0.0,0.1486,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.1108,0.0,0.0,0.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357,0.0357,0.0,0.0,0.0,0.0357,0.0,0.0921,0.0,0.0,0.0
