kelime,vektör_1,vektör_2,vektör_3,vektör_4,vektör_5,vektör_6,vektör_7,vektör_8,vektör_9,vektör_10,vektör_11,vektör_12,vektör_13,vektör_14,vektör_15,vektör_16,vektör_17,vektör_18,vektör_19,vektör_20,vektör_21,vektör_22,vektör_23,vektör_24,vektör_25,vektör_26,vektör_27,vektör_28,vektör_29,vektör_30,vektör_31,vektör_32,vektör_33,vektör_34,vektör_35,vektör_36,vektör_37,vektör_38,vektör_39,vektör_40,vektör_41,vektör_42,vektör_43,vektör_44,vektör_45,vektör_46,vektör_47,vektör_48,vektör_49,vektör_50,vektör_51,vektör_52,vektör_53,vektör_54,vektör_55,vektör_56,vektör_57,vektör_58,vektör_59,vektör_60,vektör_61,vektör_62,vektör_63,vektör_64,vektör_65,vektör_66,vektör_67,vektör_68,vektör_69,vektör_70,vektör_71,vektör_72,vektör_73,vektör_74,vektör_75,vektör_76,vektör_77,vektör_78,vektör_79,vektör_80,vektör_81,vektör_82,vektör_83,vektör_84,vektör_85,vektör_86,vektör_87,vektör_88,vektör_89,vektör_90,vektör_91,vektör_92,vektör_93,vektör_94,vektör_95,vektör_96,vektör_97,vektör_98,vektör_99,vektör_100
kırmızı,-0.893304,-0.542677,0.800388,0.344183,-0.597385,-0.392048,-0.435894,-0.720309,0.64655,0.250186,-0.728756,0.382036,-0.917877,-0.543624,-0.350678,-0.974834,-0.164089,-0.264645,0.417934,0.730255,0.438422,-0.69682,0.161402,-0.576033,0.46853,0.060688,-0.105389,0.56154,-0.030781,0.826012,-0.58808,0.611872,0.934695,0.15658,0.640363,-0.489611,0.282317,0.621271,0.541951,-0.626334,0.814897,0.794016,0.37815,0.07814,-0.663255,0.95257,-0.812379,-0.541473,-0.761178,-0.048589,0.408368,0.906549,0.866568,-0.733184,0.629355,0.078597,-0.825616,-0.136991,0.629103,-0.677405,0.487052,0.764466,0.53536,0.344613,-0.623132,-0.027249,-0.426533,0.015452,0.248361,0.560956,-0.593008,-0.290491,-0.815125,0.90874,0.748744,-0.183121,0.552681,0.521243,0.186656,0.800583,0.645966,-0.451081,0.448883,0.819649,-0.838726,0.058707,-0.278735,-0.115365,-0.205012,-0.062731,0.819527,-0.004381,0.287804,-0.52261,0.165843,0.518539,-0.548891,0.721467,-0.100955,0.180711
mavi,-0.691504,-0.554688,0.229384,0.569796,0.497714,0.988007,0.655685,0.891994,0.878664,-0.694527,0.652762,0.486229,0.07839,0.214439,0.816548,0.536667,-0.187238,0.042544,0.020203,0.005479,0.9231,-0.460249,-0.331041,0.648767,0.817745,-0.100909,-0.53592,-0.235881,0.999651,-0.606995,0.201393,-0.465143,0.202978,-0.881863,0.862064,-0.706699,0.948482,-0.994966,-0.866437,0.732836,-0.702665,-0.966116,0.298552,-0.631125,-0.352405,-0.524292,-0.239231,0.564152,-0.75737,0.871417,0.546031,-0.398662,-0.210947,0.50137,0.915449,0.981564,-0.868623,-0.009574,-0.26899,0.189739,0.178644,0.979744,-0.78865,-0.09736,0.48065,0.643319,0.733275,-0.223581,-0.478055,-0.802546,-0.652795,-0.370349,-0.533329,-0.208464,0.653072,-0.883979,-0.870041,-0.404644,0.874005,-0.553347,0.080502,0.115017,0.157569,0.032188,-0.6971,-0.288354,-0.931086,0.648235,0.602242,-0.630499,-0.57007,0.040842,-0.643657,0.176277,0.79715,-0.274327,0.431335,-0.244118,-0.333803,0.503832
yeşil,-0.142699,0.027379,0.806811,-0.499033,0.062347,0.793451,-0.239931,0.519565,0.0144,0.86477,-0.430915,-0.073811,-0.027692,-0.886421,0.634509,-0.529261,-0.600135,0.185515,0.936116,0.59073,-0.353385,0.339766,0.748295,-0.445288,-0.714693,0.454763,-0.977844,0.336842,-0.265542,0.400833,-0.024855,0.488004,-0.677291,-0.294386,0.146438,-0.162531,-0.807493,0.137528,-0.510071,-0.117873,0.702834,0.869874,-0.902464,0.858599,-0.329226,-0.040259,0.757153,-0.852395,-0.014238,-0.428999,0.678915,0.832713,0.863158,-0.595612,-0.222977,-0.423843,0.968761,-0.693682,0.592784,-0.574202,-0.759576,0.14838,-0.325428,0.020895,0.249795,0.952898,-0.560768,0.731695,0.277958,-0.063368,-0.570028,0.515145,0.156123,0.549026,-0.1841,-0.866987,0.300274,-0.189216,-0.56227,-0.955555,0.993523,-0.234686,0.763328,-0.437323,-0.282488,0.002365,-0.806348,0.032874,-0.506412,-0.965922,-0.26505,-0.012631,0.317119,0.393675,-0.68726,0.044893,0.381256,-0.49474,0.440203,-0.797064
sarı,-0.762825,-0.291232,0.237621,-0.667959,-0.36914,0.346166,0.607977,-0.623664,0.132115,0.493883,-0.626455,0.570986,-0.187786,0.775356,0.164508,0.117288,-0.284803,-0.322255,-0.048937,-0.878216,0.849275,0.053343,0.583203,0.959235,-0.537678,-0.429698,0.377175,0.096886,-0.627508,0.449687,-0.761755,-0.695839,0.675277,0.310215,0.80843,-0.340058,-0.788834,0.664381,0.953083,0.024107,0.606708,-0.954212,-0.373961,0.438822,-0.111421,0.287208,-0.827742,0.366924,0.362631,-0.62558,-0.132749,-0.066302,-0.886109,0.292996,0.209368,-0.324777,-0.922311,-0.06659,0.55992,-0.202852,-0.177894,-0.641915,-0.643566,-0.07876,-0.949675,-0.994145,0.455835,-0.635537,-0.669597,0.759642,0.781112,0.982513,0.673785,0.873012,-0.016302,0.431727,-0.515784,-0.29215,0.894522,0.960546,-0.16852,-0.639752,-0.347685,0.484051,0.516724,-0.453576,-0.554045,-0.191138,0.06583,-0.820164,-0.959662,-0.817101,-0.156528,0.19597,-0.354854,-0.788812,-0.662888,0.814947,-0.843534,-0.26918
siyah,0.890981,0.970819,-0.614527,0.173255,-0.141939,-0.967423,-0.206535,0.159756,0.065447,0.563536,-0.8198,0.17829,-0.312834,-0.839877,-0.208811,-0.084536,-0.489828,0.458899,0.683882,-0.657484,0.902799,-0.148946,0.00783,-0.898832,-0.167728,0.801462,-0.229044,0.786681,-0.375157,-0.118591,-0.550365,0.792686,-0.008701,-0.541022,-0.898537,-0.866924,-0.629728,0.219858,-0.815666,-0.407873,0.453977,0.052814,0.401007,-0.202277,0.447101,0.733209,0.998687,0.078832,-0.882477,-0.129794,-0.891479,-0.065323,0.577029,0.032813,-0.095783,0.526543,0.924481,0.175252,-0.41229,-0.755206,0.556372,-0.94289,-0.710735,-0.851442,-0.758956,-0.212847,-0.05096,0.785947,0.326471,0.508217,-0.90761,0.861757,0.85613,0.384358,0.155464,0.499835,0.773106,-0.406148,-0.1347,0.366467,-0.663629,-0.132984,-0.685477,0.36417,-0.700421,0.572367,0.662528,0.532663,-0.838112,0.0834,-0.648254,0.968587,0.805948,0.74725,-0.554457,-0.152784,-0.88446,0.3937,-0.411447,-0.922037
beyaz,0.709727,-0.40166,0.74213,-0.784838,0.407669,0.257605,0.067159,-0.673054,0.198497,-0.838418,-0.130391,-0.001177,0.357861,-0.121738,0.225585,0.423184,0.761095,0.744119,0.896098,0.287141,0.981769,-0.309762,0.113865,-0.346315,0.56623,-0.208963,0.009338,0.024505,0.64003,0.789672,0.08376,0.799529,0.774018,0.886469,-0.816599,0.89625,-0.063792,-0.164942,0.11608,0.507741,-0.753073,-0.156809,-0.216569,-0.993109,-0.370369,0.552831,-0.149238,-0.724168,0.79322,-0.734546,-0.952208,-0.961361,0.285522,-0.518129,-0.741814,0.058815,-0.063465,0.024561,-0.479754,0.473399,-0.11094,0.884359,-0.672214,-0.689006,0.535164,-0.408809,0.486546,0.540712,-0.418588,0.054231,0.529282,-0.21886,-0.585549,0.432209,0.359165,0.701196,0.106719,-0.908294,0.165433,-0.48215,0.236106,-0.559176,0.188962,0.127018,-0.387541,0.657714,0.633772,-0.219408,-0.541626,0.902667,0.081819,-0.719423,0.920186,-0.395021,0.280689,0.932114,0.58696,-0.585911,-0.425917,0.537208
açık,-0.328045,-0.766848,-0.015939,0.939883,-0.20636,-0.217758,0.592203,-0.611696,0.186534,-0.759062,-0.256607,-0.457877,0.051489,0.764797,-0.906779,-0.314209,0.705137,0.325164,-0.699514,-0.869735,0.968414,-0.762823,-0.583308,0.588222,0.065453,0.47496,-0.620695,-0.386582,-0.977753,0.714255,-0.996409,0.43564,0.112582,-0.917324,0.602394,-0.868396,-0.191139,-0.007328,0.008556,0.366714,-0.072566,0.594741,-0.822172,0.937063,0.951333,0.823863,0.672495,-0.81663,-0.951295,0.164037,0.826961,0.245903,-0.862274,0.199543,0.073465,-0.954291,0.097141,0.847926,0.272131,0.788307,-0.737297,0.155369,-0.680244,-0.387125,-0.782532,-0.874613,-0.9397,-0.353003,0.022339,-0.776858,0.623977,0.229995,-0.848661,0.15305,0.940837,-0.760892,-0.892856,0.230759,0.861191,0.768008,0.620801,0.103673,-0.717971,0.654328,-0.121299,-0.888965,-0.186184,-0.966383,0.607615,-0.301812,-0.055949,-0.443241,0.472315,0.803477,-0.549725,0.391492,-0.58122,0.303093,0.29221,-0.654532
koyu,0.381703,-0.289072,0.608663,0.774095,-0.97668,0.90648,-0.019583,0.367376,0.212597,-0.655776,0.170632,0.627095,0.393877,-0.194449,-0.028092,0.24971,-0.878909,-0.068468,0.673124,-0.424764,0.36246,0.044061,0.992716,0.459697,-0.734678,0.906498,-0.578751,0.795565,0.416765,-0.091668,0.403454,0.485571,-0.543216,-0.670054,0.112575,-0.760566,-0.650625,-0.922296,-0.666107,-0.128004,0.20788,0.278442,-0.999942,-0.698344,-0.186009,0.187686,-0.934728,-0.337867,0.607692,0.559177,-0.863365,0.047534,-0.159131,0.806251,0.708807,0.882303,-0.717093,0.649136,0.588755,-0.623762,-0.539755,0.697731,-0.597015,-0.287127,-0.60464,0.6737,0.586738,-0.428961,-0.524429,0.088872,0.378293,0.600927,0.853906,-0.661964,-0.810841,-0.130496,-0.208058,0.927993,0.167427,0.65941,-0.194101,0.418113,-0.608068,0.917122,-0.04351,-0.867215,0.897246,0.772171,-0.797375,-0.559776,-0.721168,0.133223,0.789752,-0.458592,0.532184,0.864927,-0.428882,0.727698,0.689535,0.128208
pastel,-0.484518,-0.167646,0.364948,0.649166,0.705624,0.693985,0.189213,0.914923,0.701508,0.247228,0.880042,0.452488,-0.822473,-0.615939,0.843354,-0.946922,0.056819,-0.682247,0.657445,0.720943,0.673278,0.137852,-0.480977,0.105255,-0.293364,0.478768,-0.444979,0.58385,-0.484741,-0.091055,-0.490693,-0.649322,0.406915,0.819454,-0.569879,0.687545,-0.410411,0.686241,0.995306,0.736941,-0.348473,0.545354,0.271779,-0.834121,-0.904898,0.178297,-0.427872,0.762255,-0.511463,0.71912,0.524777,0.524948,0.623604,0.862376,0.644872,0.476118,-0.175356,-0.62571,-0.833031,-0.955269,-0.005161,-0.048377,0.589375,0.447168,0.910549,-0.293658,-0.40233,-0.062628,-0.037301,-0.732862,0.24347,0.336749,0.184776,0.870228,-0.004213,0.15464,-0.542995,0.352574,-0.026663,0.495389,0.627121,0.94661,0.755191,-0.047524,0.656983,-0.801724,-0.610128,-0.382975,0.533014,0.685013,0.807054,-0.062236,0.988675,0.203044,-0.857627,-0.812785,0.036028,0.640149,-0.996082,-0.448157
canlı,0.364033,0.286209,-0.034199,-0.551627,-0.954648,0.201477,0.96343,0.132962,0.730496,0.5448,0.126301,0.546059,-0.509244,0.063543,0.405944,-0.825052,-0.240463,0.446563,0.552998,0.416644,0.227815,-0.917131,-0.624344,0.704379,-0.992168,0.588532,-0.802303,0.380589,0.780855,-0.382598,-0.56307,-0.615496,0.883467,0.017425,-0.531058,-0.401954,-0.933802,-0.573278,0.634977,-0.872955,0.76744,0.495675,0.027406,0.821682,-0.513457,0.329695,-0.315244,0.764055,0.001403,0.328411,0.506971,-0.942232,-0.98453,0.022734,0.122755,-0.944766,0.464135,-0.213016,0.206309,0.756076,-0.327775,0.714491,-0.227931,0.459568,-0.343506,-0.384259,-0.7002,-0.332074,0.779925,0.232055,0.59434,0.615458,-0.198743,-0.157949,0.92662,-0.625663,-0.724273,-0.988536,0.666554,0.415614,0.846505,-0.983381,0.72987,-0.564302,-0.668032,-0.195663,-0.170575,0.60871,0.529978,-0.360072,-0.493321,0.500159,0.180134,-0.549657,0.549426,0.780628,-0.933739,0.135333,-0.256165,0.545263
