kelime,vektör_1,vektör_2,vektör_3,vektör_4,vektör_5,vektör_6,vektör_7,vektör_8,vektör_9,vektör_10,vektör_11,vektör_12,vektör_13,vektör_14,vektör_15,vektör_16,vektör_17,vektör_18,vektör_19,vektör_20,vektör_21,vektör_22,vektör_23,vektör_24,vektör_25,vektör_26,vektör_27,vektör_28,vektör_29,vektör_30,vektör_31,vektör_32,vektör_33,vektör_34,vektör_35,vektör_36,vektör_37,vektör_38,vektör_39,vektör_40,vektör_41,vektör_42,vektör_43,vektör_44,vektör_45,vektör_46,vektör_47,vektör_48,vektör_49,vektör_50,vektör_51,vektör_52,vektör_53,vektör_54,vektör_55,vektör_56,vektör_57,vektör_58,vektör_59,vektör_60,vektör_61,vektör_62,vektör_63,vektör_64,vektör_65,vektör_66,vektör_67,vektör_68,vektör_69,vektör_70,vektör_71,vektör_72,vektör_73,vektör_74,vektör_75,vektör_76,vektör_77,vektör_78,vektör_79,vektör_80,vektör_81,vektör_82,vektör_83,vektör_84,vektör_85,vektör_86,vektör_87,vektör_88,vektör_89,vektör_90,vektör_91,vektör_92,vektör_93,vektör_94,vektör_95,vektör_96,vektör_97,vektör_98,vektör_99,vektör_100
kırmızı,-0.299744,0.440516,0.389606,0.823544,-0.086025,0.179319,0.179457,0.594871,-0.649046,-0.65215,0.14168,-0.564935,-0.34164,-0.82507,0.797519,-0.934709,-0.104697,0.630411,0.272671,-0.823504,0.349682,-0.225223,-0.86434,-0.804843,0.385648,0.432892,-0.958015,-0.864205,-0.4375,-0.441767,-0.861907,-0.276492,-0.85561,-0.906014,-0.36112,0.712467,-0.209205,-0.665877,0.819659,0.327723,0.425383,-0.627711,0.231736,0.448913,0.97592,0.829021,0.44504,-0.538938,-0.321284,0.193521,-0.649681,0.053382,0.873157,-0.608298,0.975736,-0.96052,0.910756,0.660153,0.143639,0.98302,-0.017807,-0.908273,0.490409,0.458171,0.095667,-0.999897,-0.598344,-0.74174,0.841949,0.299351,0.324456,0.062578,0.651369,-0.155171,-0.696012,0.335929,0.655088,0.666537,-0.145471,-0.983586,-0.456185,-0.37043,0.860246,-0.989341,-0.909766,-0.279851,-0.161001,0.365728,0.675478,0.733872,0.233895,0.900682,-0.034147,0.489393,-0.598722,0.533399,-0.510481,-0.450334,0.13003,0.996471
mavi,0.694851,0.343663,0.250934,-0.771558,0.513919,0.487991,0.074403,0.211933,0.192307,0.576495,0.407659,0.009063,-0.801775,0.327183,-0.319029,-0.356703,-0.358072,-0.411232,-0.649913,-0.140954,0.621352,-0.411853,-0.076282,0.453716,0.558453,0.582689,-0.532338,-0.17143,-0.421081,-0.225951,-0.237934,-0.575954,0.040134,0.138923,0.177737,0.799369,0.086932,-0.605642,-0.674971,0.972622,-0.318173,0.585268,-0.105036,0.292169,0.521003,0.080382,-0.314387,-0.557204,0.572166,-0.750657,0.562957,0.034903,0.932363,0.415891,0.244639,0.735038,-0.980766,0.284715,-0.238933,-0.617247,0.671352,0.7543,-0.92758,-0.558223,0.303074,0.70767,-0.4964,-0.586515,-0.491424,0.760546,0.696046,-0.532807,-0.868994,0.022745,-0.020477,0.707369,-0.080568,0.243221,0.614684,-0.751896,-0.131276,-0.386739,-0.777562,0.009733,-0.239993,0.196791,-0.209745,-0.630314,-0.647518,0.860136,0.48305,-0.35594,0.568613,0.02958,0.454832,0.500656,0.868367,-0.298431,-0.340963,0.924618
yeşil,-0.391887,0.288076,-0.195355,-0.63095,0.259809,0.635417,-0.606238,0.35453,0.863197,0.141625,-0.199519,0.331876,-0.83764,0.345371,-0.343472,-0.95833,0.144806,0.019123,0.481938,-0.692054,0.969869,-0.788873,0.972042,0.04482,-0.184867,0.291977,-0.29001,-0.366497,0.251185,0.313112,0.243603,0.227604,-0.210575,0.567364,-0.763671,0.105915,-0.459889,-0.770602,0.990288,-0.588438,-0.844945,-0.384863,-0.520795,-0.475389,-0.432445,0.606238,0.037851,-0.19995,0.832677,-0.035044,0.907629,-0.836209,0.773227,-0.294896,-0.00229,0.61458,0.463417,-0.410966,-0.316896,-0.429959,0.567995,-0.009313,-0.794492,-0.51673,-0.777677,0.115757,0.066303,-0.039296,-0.924223,-0.52609,0.429265,0.236275,0.04505,0.717388,0.740406,-0.164233,-0.058952,-0.599611,0.004312,-0.68513,0.986982,0.984627,-0.615612,0.999837,0.164442,-0.174671,0.563608,0.616596,-0.639371,-0.181099,0.57163,0.429553,0.038162,-0.384647,-0.790836,-0.236685,-0.231784,-0.402128,-0.377611,0.792941
sarı,0.106072,0.052747,-0.683856,-0.279017,-0.956335,0.231721,-0.411255,0.091251,-0.649118,0.156379,-0.390813,0.745554,-0.086501,0.583575,-0.369119,-0.954979,-0.695825,0.543658,0.749794,-0.198026,-0.9312,0.421677,-0.953216,-0.839414,0.016978,-0.405316,0.196387,-0.472967,-0.954663,-0.647326,-0.670179,0.600835,-0.454149,-0.425384,-0.812226,0.741975,0.762696,-0.09513,0.019457,0.555715,-0.18488,0.152859,0.080216,0.604023,-0.55168,0.462784,0.318299,-0.376524,0.002763,0.199448,-0.743269,0.673817,-0.068826,-0.666097,0.770029,0.459792,-0.586458,-0.318587,0.30507,0.09504,-0.336432,0.47658,-0.258571,-0.123671,0.852947,-0.854423,-0.121223,-0.994453,-0.171148,0.170759,0.766399,0.088073,0.258091,0.462025,-0.832034,-0.226694,-0.732217,-0.85672,0.846879,0.355498,0.221757,-0.052038,0.82608,-0.555342,0.529207,0.374396,-0.231026,0.658151,-0.204294,-0.786975,0.89419,-0.486892,0.374757,-0.823849,-0.627281,-0.226344,0.713323,0.438587,-0.21811,0.438137
siyah,-0.030143,0.066311,0.634363,-0.366226,0.322404,0.707166,0.298753,-0.969862,0.179481,0.432035,0.252973,-0.39302,-0.741454,0.009633,-0.35612,0.361707,0.575738,-0.526177,-0.462755,-0.852071,0.284663,0.208626,0.221449,-0.294914,0.310834,0.421864,-0.952616,-0.407269,0.522233,-0.900318,-0.915239,-0.449545,-0.016118,-0.185701,-0.500431,-0.652437,-0.833511,0.822671,0.669635,0.004563,0.017734,-0.832537,-0.081504,0.036669,0.980412,0.220638,0.127525,-0.650625,0.994341,-0.425819,-0.703714,0.378746,0.094758,-0.540743,-0.204933,-0.992289,-0.007352,-0.531801,-0.108278,-0.54143,-0.376267,-0.764268,-0.8685,0.078581,-0.357907,-0.206943,-0.43909,0.306642,-0.161318,-0.794784,-0.688278,0.791744,-0.321914,-0.937129,0.637266,-0.987235,0.911998,0.141909,0.058997,0.594023,0.158184,0.984453,-0.706792,-0.760165,-0.256541,0.173867,-0.349485,-0.894304,-0.841787,-0.407995,-0.114837,0.38525,-0.901437,-0.07586,-0.378111,-0.171152,0.23398,-0.687339,0.056146,-0.96856
beyaz,0.716964,0.355463,0.421587,-0.10332,-0.654311,-0.2799,0.400959,0.50821,-0.889897,0.734232,-0.897238,0.269347,0.903378,0.58891,0.477955,0.581174,-0.229912,0.601529,0.081669,-0.586579,0.621635,0.574113,0.660146,-0.859257,0.756712,-0.686127,0.447908,-0.055621,-0.872181,0.134354,-0.578786,0.935835,-0.811025,-0.774385,0.591015,-0.371622,-0.271411,0.527182,0.549119,-0.256078,0.957937,-0.382783,0.445528,-0.669048,-0.958354,0.778213,-0.077251,0.441547,0.904222,0.124377,-0.910996,-0.106876,0.464127,-0.094598,0.843795,0.522824,-0.862851,-0.491714,0.667638,0.735731,0.989153,0.971696,0.193829,-0.783494,-0.799279,0.418936,-0.552108,0.537863,0.218492,-0.985015,0.411519,0.017423,-0.818347,-0.913961,-0.821937,0.038535,-0.567046,-0.551676,-0.83686,0.603807,-0.349777,-0.1838,0.105512,-0.628017,0.606739,0.478918,0.848871,-0.157977,0.747812,0.958419,-0.180274,-0.270198,0.343721,-0.556122,-0.106066,-0.942578,0.432513,-0.837734,-0.479136,0.716026
açık,0.182949,-0.516399,-0.159063,-0.964454,0.790206,0.54233,-0.713339,0.249475,-0.942428,-0.899246,-0.234652,-0.4262,0.404895,0.09456,-0.239126,-0.461482,0.906028,0.94621,0.881687,-0.949668,0.422761,-0.117147,0.934509,0.708271,-0.77848,-0.424168,0.080371,-0.783475,0.480414,-0.407214,0.238604,-0.24113,-0.76499,0.003569,-0.769582,-0.892438,0.625297,-0.047836,0.040458,0.232108,0.681486,0.940778,-0.043646,0.395379,0.792212,0.511979,0.381341,-0.106498,0.976696,-0.718629,-0.478686,0.522765,-0.52821,0.081354,-0.392672,-0.114723,-0.951307,-0.771917,-0.246305,-0.563378,-0.930554,-0.640144,0.244376,-0.662078,-0.787135,-0.245304,-0.787236,-0.567762,-0.856693,0.212707,-0.860886,0.327,-0.471651,-0.019755,0.39008,0.504056,0.427517,0.430645,0.032001,0.004208,-0.419729,0.654487,0.409193,0.649717,0.903281,0.951574,0.592934,-0.63018,-0.230691,-0.644952,0.802097,-0.268617,-0.460168,0.315773,-0.241102,-0.65658,0.612075,-0.774406,-0.71731,0.567225
koyu,-0.775997,-0.236915,0.789294,-0.414578,-0.371748,0.369381,0.991484,0.719892,0.912663,0.723805,-0.69758,-0.201373,-0.973233,-0.442359,-0.987006,0.867262,-0.820113,-0.711334,0.972278,0.479725,-0.356201,0.074884,-0.367649,-0.738951,0.89064,-0.909078,-0.109273,-0.026863,0.786848,0.843971,0.239041,-0.294978,-0.608492,0.27359,-0.920104,-0.084578,-0.14046,-0.780042,-0.371371,-0.212505,-0.100002,0.186531,0.861142,-0.979641,-0.21632,-0.814695,0.02916,-0.178977,0.253048,0.932003,-0.210061,0.263618,-0.222285,0.180629,-0.716448,0.069723,0.149957,-0.725333,-0.255686,-0.489777,-0.752406,0.188369,-0.917585,-0.15873,-0.52615,-0.237404,-0.456454,0.29804,-0.084244,0.974893,0.702415,-0.886558,-0.185546,-0.110746,-0.755857,0.117817,0.96468,-0.983843,-0.303689,0.561074,0.114455,-0.155671,0.804631,-0.942971,-0.483727,-0.094894,0.034536,0.927569,0.959241,0.396387,-0.814563,0.991975,0.753986,-0.947027,0.399439,-0.936017,0.944137,-0.956428,-0.913877,0.925618
pastel,0.13669,0.631122,0.43815,0.629415,-0.134387,-0.21274,-0.139532,-0.057618,0.720317,-0.770681,-0.128578,-0.033245,-0.377314,-0.324768,-0.785864,-0.355378,-0.149207,0.873963,0.466838,0.138371,-0.552092,0.377015,0.292253,0.673522,-0.242647,-0.841896,-0.34819,0.382627,-0.028809,0.134044,-0.466984,-0.52494,-0.638732,-0.666096,-0.640865,-0.484526,-0.215654,-0.341106,-0.302146,-0.701313,-0.842366,-0.29765,-0.364356,0.135029,0.550934,-0.552784,-0.797648,0.519686,-0.796737,-0.228006,-0.065626,0.372124,-0.67832,-0.292781,-0.831833,-0.975832,-0.380702,-0.904253,-0.960484,-0.957968,0.565652,-0.417581,0.418959,-0.403705,0.041551,0.659807,-0.823744,0.740313,-0.805334,0.71514,0.581643,0.260597,-0.460065,-0.936275,0.817686,-0.229247,-0.367749,0.347317,0.59057,0.324009,-0.249147,-0.606345,-0.210232,-0.426495,0.35463,0.15583,0.705099,-0.700643,0.373244,-0.899257,-0.875118,-0.530658,0.598515,0.26167,0.145154,0.251709,-0.356236,-0.709647,0.274084,-0.197488
canlı,-0.836097,-0.280411,0.927477,0.221492,-0.930091,-0.123006,0.981578,0.551304,0.54087,0.164404,0.603046,0.492682,-0.484118,-0.187028,-0.638492,0.559519,-0.94785,-0.521819,-0.099688,-0.299269,0.575414,0.748961,0.87562,-0.436861,0.428709,-0.960979,-0.827067,0.416739,-0.243889,-0.576078,0.730536,0.590091,0.791726,0.827196,0.109641,0.552189,-0.107745,0.807196,-0.395457,0.475004,0.505051,-0.188353,0.555153,0.182638,0.700951,-0.168381,0.549453,-0.249736,-0.867109,-0.210373,-0.696785,0.424265,-0.400555,0.771465,-0.833083,-0.937734,0.334323,0.979411,0.777558,0.969529,-0.113373,0.863222,-0.923037,0.104385,0.593227,0.562583,0.645551,-0.402427,0.837104,0.695753,0.861711,-0.512086,0.955401,0.896665,-0.629893,-0.427501,0.998098,-0.728175,-0.816237,0.574583,0.762435,0.425635,-0.091839,-0.307179,-0.336296,-0.69755,-0.547558,-0.765223,-0.204083,-0.41253,-0.296439,-0.421153,0.54542,-0.551851,-0.811715,-0.640721,-0.770536,0.419466,0.526591,-0.250032
