kelime,vektör_1,vektör_2,vektör_3,vektör_4,vektör_5,vektör_6,vektör_7,vektör_8,vektör_9,vektör_10,vektör_11,vektör_12,vektör_13,vektör_14,vektör_15,vektör_16,vektör_17,vektör_18,vektör_19,vektör_20,vektör_21,vektör_22,vektör_23,vektör_24,vektör_25,vektör_26,vektör_27,vektör_28,vektör_29,vektör_30,vektör_31,vektör_32,vektör_33,vektör_34,vektör_35,vektör_36,vektör_37,vektör_38,vektör_39,vektör_40,vektör_41,vektör_42,vektör_43,vektör_44,vektör_45,vektör_46,vektör_47,vektör_48,vektör_49,vektör_50,vektör_51,vektör_52,vektör_53,vektör_54,vektör_55,vektör_56,vektör_57,vektör_58,vektör_59,vektör_60,vektör_61,vektör_62,vektör_63,vektör_64,vektör_65,vektör_66,vektör_67,vektör_68,vektör_69,vektör_70,vektör_71,vektör_72,vektör_73,vektör_74,vektör_75,vektör_76,vektör_77,vektör_78,vektör_79,vektör_80,vektör_81,vektör_82,vektör_83,vektör_84,vektör_85,vektör_86,vektör_87,vektör_88,vektör_89,vektör_90,vektör_91,vektör_92,vektör_93,vektör_94,vektör_95,vektör_96,vektör_97,vektör_98,vektör_99,vektör_100
kırmızı,-0.158827,-0.40947,-0.799426,0.196992,-0.583508,0.027495,-0.002163,0.961952,-0.159114,0.969341,0.650455,-0.643987,-0.207356,-0.566684,0.068588,0.254048,-0.564516,-0.946183,-0.124428,0.712839,-0.828189,-0.129437,-0.009279,-0.263607,-0.485551,0.558465,-0.475968,0.601142,0.803116,0.941825,-0.751473,0.701357,0.456532,0.255254,-0.348226,0.954455,0.600557,0.684314,-0.661875,0.915503,0.393124,0.388601,0.76504,0.126384,-0.129299,-0.117565,0.688567,-0.6166,-0.337307,-0.967511,-0.215936,0.072493,0.605747,0.742032,-0.705481,-0.531575,0.002797,-0.863841,0.670314,-0.939169,0.881392,0.699937,-0.960285,0.43185,-0.157723,-0.891135,-0.570736,0.61636,-0.895274,0.969193,0.031037,0.212992,-0.094676,0.434707,0.756523,-0.357572,-0.407285,0.738832,0.779845,-0.481359,-0.840817,0.545839,0.483271,0.455101,-0.302439,-0.222416,-0.194313,0.84679,-0.694091,0.991937,-0.632791,0.317992,0.078289,-0.629769,-0.582905,-0.941818,-0.24346,-0.276754,0.130475,0.781661
mavi,-0.883601,0.810444,0.504335,0.133262,-0.367664,0.259581,-0.75713,-0.574415,0.703702,0.025248,-0.184246,-0.959038,0.911997,0.880979,-0.072207,0.076504,0.347393,0.160215,0.248237,-0.225585,-0.27751,-0.076386,-0.640504,0.238127,0.443431,0.933038,0.853161,-0.711885,-0.26196,0.822178,-0.054703,0.243738,0.474256,0.796433,-0.909372,0.387774,0.780624,-0.440703,-0.576975,0.186099,0.218176,-0.38531,0.911582,0.906428,0.712505,0.544629,0.760074,0.073189,-0.516205,-0.309046,0.056171,-0.421789,0.699346,-0.133637,-0.697248,0.095397,-0.725113,0.404288,-0.764396,-0.015404,0.858822,0.606851,0.654394,-0.469337,-0.90773,0.234302,0.081547,-0.816184,-0.099089,-0.148187,0.697627,-0.895406,0.672879,-0.802344,-0.987538,-0.2286,-0.395557,-0.151909,0.568868,0.363134,-0.583203,0.358427,0.094083,0.107243,0.744186,0.789156,0.701051,0.243305,0.612769,-0.794662,-0.641968,-0.225868,-0.642522,-0.095096,0.031716,0.111639,0.188641,-0.896078,-0.246734,-0.803005
yeşil,0.957133,0.616116,0.029289,-0.395282,0.38724,0.52168,0.869857,-0.125603,0.44721,0.164286,0.633246,-0.072731,-0.77382,0.972361,0.934327,0.334095,-0.845942,-0.015981,-0.243941,0.133842,-0.729069,-0.475362,-0.147812,0.827683,0.421072,0.991528,-0.720534,-0.754063,-0.540521,0.702892,0.190147,0.66231,0.754905,-0.91656,-0.197646,-0.365012,-0.584533,0.741228,0.756323,0.488809,0.250316,0.527402,0.78269,0.903689,-0.408061,-0.347195,-0.105176,0.504684,0.753625,-0.637326,-0.952566,-0.022945,0.788857,-0.690748,0.164734,-0.279456,-0.806194,0.225826,-0.167846,-0.982783,-0.612696,0.516701,-0.559416,-0.767857,0.609109,-0.473295,-0.649286,-0.804046,0.783121,-0.286978,-0.934284,-0.835169,-0.731259,0.664562,-0.101946,0.835849,-0.596566,0.778195,0.097269,-0.472786,-0.159432,0.678054,0.249173,-0.038019,-0.559437,-0.222326,-0.086004,-0.627606,0.290718,0.645209,-0.500738,-0.477813,-0.832195,-0.316845,0.454917,0.514442,0.971403,0.348499,-0.776235,-0.452216
sarı,-0.9698,0.335351,-0.718913,0.798314,-0.830027,-0.120618,0.603091,0.769275,0.730347,0.977244,-0.411584,-0.603195,-0.479968,0.604846,0.332191,0.180096,-0.129688,0.656369,0.24037,0.277897,0.234788,0.587048,0.165595,-0.173659,-0.90204,0.59234,-0.065206,-0.90686,-0.762904,0.916015,0.044224,-0.038187,-0.307392,0.214993,-0.781493,0.835837,0.662803,-0.486705,-0.030636,0.263516,0.495231,0.443646,0.903584,0.167249,0.235924,0.428421,-0.00282,0.375828,-0.746216,0.221216,0.703334,0.255976,-0.824305,-0.466445,-0.356036,0.921726,0.193403,0.266053,0.857795,0.872413,-0.261648,0.134002,0.596847,-0.450553,-0.20844,-0.204564,0.995256,-0.346414,-0.135639,-0.730242,-0.288025,-0.593002,0.245775,0.391211,-0.604791,0.193253,0.607914,0.203693,0.983498,-0.778941,-0.381997,-0.354272,-0.877353,-0.330018,-0.200369,-0.651026,0.935009,0.350288,-0.66716,-0.030632,0.592983,-0.369657,-0.620247,-0.249783,0.177184,0.499747,-0.534341,0.868549,-0.701182,-0.961999
siyah,-0.535033,0.238702,0.007335,-0.948151,-0.74272,0.614301,-0.51218,-0.809447,-0.481279,-0.316467,0.055269,-0.018567,0.275097,-0.175822,0.066246,0.241831,0.476916,0.646307,0.198442,0.750197,-0.826657,-0.685692,-0.005138,-0.130759,-0.117633,-0.402234,0.818105,-0.641877,0.313593,0.80191,0.773452,0.375772,-0.601278,-0.799547,0.317015,-0.039467,-0.193856,-0.556124,-0.305649,0.997375,-0.495532,0.976451,-0.259627,-0.574761,0.825642,-0.306445,-0.618876,-0.424323,-0.634048,-0.334935,-0.617338,-0.587029,-0.970753,0.127429,-0.830339,0.875559,-0.728562,-0.256459,-0.421937,-0.953176,0.901869,-0.106786,0.247457,-0.084592,0.173681,-0.17193,0.871794,0.130139,0.367467,-0.911209,-0.783595,-0.179227,-0.583163,-0.657894,0.114984,-0.831663,-0.604614,0.015404,-0.846439,-0.162768,0.383474,0.864723,-0.37512,-0.961076,0.696554,-0.569068,-0.187294,0.108853,0.342358,0.0747,0.463753,-0.796118,-0.349289,0.630793,0.813947,-0.527304,0.363325,0.707573,-0.471559,-0.404717
beyaz,0.445994,0.137227,0.770152,0.222737,-0.803028,0.798623,0.667858,-0.058492,-0.384147,0.696444,0.991709,-0.05197,-0.682623,0.689862,0.218267,-0.25546,0.270606,0.363334,0.792274,-0.886693,0.124768,0.098799,0.83282,0.915484,-0.983395,-0.872766,0.718788,-0.187721,0.18587,-0.302048,-0.367986,0.829829,0.007018,-0.093519,0.27083,-0.945834,0.177652,-0.669774,-0.458518,-0.526013,-0.761217,0.662274,-0.070824,-0.873347,0.843659,0.502324,-0.585093,-0.497587,-0.091823,-0.59475,0.136818,0.410486,-0.992517,-0.998816,0.708396,0.413773,0.419985,-0.277642,-0.25236,0.954042,-0.618933,-0.798038,-0.635624,-0.619166,-0.865953,-0.728374,-0.493385,0.908799,0.661344,0.689381,0.796578,0.080772,-0.932108,-0.970599,0.10504,-0.661796,0.846988,0.155003,0.592724,-0.705851,-0.916707,-0.662899,0.37815,0.624938,-0.584168,0.508729,-0.222059,-0.214245,-0.755122,0.208204,-0.041944,-0.021781,-0.308157,-0.811032,0.667509,-0.392967,-0.125799,0.6489,0.803432,0.100081
açık,-0.229215,-0.202618,0.623649,0.845144,-0.548732,-0.936971,-0.658052,-0.489007,-0.850654,0.010742,-0.974254,0.254909,-0.705086,-0.627942,-0.033441,0.599499,0.065801,0.373377,-0.460152,0.416985,-0.102742,-0.698759,0.750254,-0.826451,-0.018107,-0.505456,-0.0243,0.926865,-0.412024,-0.374812,0.261553,0.590118,0.948919,-0.367119,0.178904,0.472751,0.785391,-0.337313,0.886356,-0.665316,0.754252,0.937524,-0.416276,-0.280926,0.859926,0.065258,0.617871,-0.433355,-0.282348,-0.412156,-0.379448,0.62496,-0.465768,0.370959,-0.690287,0.83258,0.901078,-0.318012,0.9558,-0.746633,0.019355,0.124071,0.224638,-0.564574,0.102758,0.525866,-0.924589,0.641092,-0.973812,0.38081,0.819667,0.107595,-0.987492,0.719775,0.68031,0.746034,0.721294,0.576937,0.915386,0.94384,0.149815,0.333235,0.894519,-0.959522,0.686343,0.152491,0.131914,-0.220605,0.896031,-0.686874,0.208957,-0.826623,-0.583083,-0.965744,0.235007,-0.449039,0.599978,0.11247,0.967214,-0.760707
koyu,0.612399,-0.322456,-0.675883,0.675312,-0.453532,0.52881,0.368918,-0.19645,0.944963,-0.717135,0.883254,-0.814451,-0.138597,0.670302,-0.058779,0.966688,-0.469398,-0.063782,0.639099,-0.176354,0.224985,-0.400977,0.252286,0.669532,0.806506,0.019952,0.386962,-0.467509,0.433627,0.738673,0.079949,-0.435687,0.801486,0.009967,0.279944,-0.107444,-0.744679,0.032048,0.133076,0.938782,-0.830086,-0.718681,-0.766622,0.497926,0.156673,0.159014,-0.683557,-0.778988,0.84939,0.331476,-0.576506,-0.074722,-0.986627,-0.281267,-0.217008,0.683548,-0.110411,-0.371689,0.789885,-0.500706,0.010785,-0.085354,-0.852059,0.176484,-0.784795,-0.135667,-0.299083,0.152543,0.347274,0.795777,-0.799416,-0.203345,-0.942145,0.006596,-0.591463,0.81856,-0.19402,-0.729507,-0.012733,-0.621989,-0.039889,0.1667,-0.220253,-0.785955,-0.358142,-0.45186,0.78636,0.612989,-0.298245,0.963321,0.245316,0.9237,-0.400378,0.736485,-0.4071,0.590465,-0.613999,-0.060356,0.556235,-0.035633
pastel,-0.762329,0.479023,0.490073,-0.540053,-0.641064,0.789238,-0.343286,0.514385,0.144829,-0.146812,-0.573146,-0.299792,0.024082,0.484872,-0.993031,0.18527,-0.529484,0.898322,-0.002219,0.580474,-0.250175,-0.169927,-0.45471,0.279395,0.645936,0.536985,0.635602,0.992597,-0.177586,0.090331,0.631233,0.030519,0.686757,0.904231,0.050764,-0.176283,-0.573223,0.716913,-0.662916,-0.553569,0.256689,-0.955273,0.261956,0.304103,0.377588,-0.528779,-0.854025,0.490868,-0.892218,0.083145,-0.894052,-0.195277,0.081324,-0.279845,0.413535,-0.143587,-0.22062,0.675161,0.261547,0.362318,-0.581611,-0.39705,0.219462,0.553403,-0.390249,-0.059719,0.191597,0.305014,-0.56019,0.681381,-0.99124,-0.743393,-0.125694,-0.032622,-0.242963,0.825675,0.244496,0.656082,0.436031,-0.896642,-0.451794,-0.099962,0.105269,-0.990107,0.719313,-0.940739,-0.020785,0.687193,-0.852931,-0.86904,0.363516,0.42886,0.409431,-0.070509,0.101084,-0.569868,-0.410966,0.096322,0.549171,0.356364
canlı,-0.897659,-0.915535,0.389881,0.837392,0.319833,0.028471,0.57882,-0.842214,0.887948,-0.614934,0.37306,0.510087,0.966495,-0.856712,-0.308891,0.287629,0.273502,-0.15978,-0.257562,0.784264,0.093997,-0.271736,-0.913472,-0.767507,-0.020981,0.027377,0.572191,-0.227675,0.35734,-0.465747,-0.527751,-0.750855,0.284358,0.47354,-0.085575,0.533632,-0.940764,0.696319,0.993088,-0.602466,-0.239,-0.872614,0.859786,-0.567073,-0.077439,-0.563252,0.076826,-0.262539,-0.488407,0.351737,0.925612,-0.986496,0.141348,-0.027694,-0.847777,0.927806,0.863614,0.565041,-0.948616,0.389274,-0.594505,-0.112816,0.706873,0.222001,-0.988197,0.680569,-0.138305,-0.627624,0.168786,0.313745,0.905977,0.175583,-0.983558,-0.841154,-0.613855,0.3958,0.157102,-0.437696,0.266333,-0.802545,-0.041971,-0.872784,-0.920307,0.477757,0.664289,0.772252,0.735379,-0.122093,0.30572,0.029217,0.587903,0.538132,-0.487834,-0.938421,-0.216176,-0.373895,-0.202099,0.265949,0.754732,-0.200042
