Rank,Kelime,Frekans,Zipf Yaklaşık
1,kumaş,4279,4279.0
2,öne,3452,2139.5
3,çıkan,3452,1426.33
4,özellik,3452,1069.75
5,model,3053,855.8
6,tasarı,2988,713.17
7,şık,2973,611.29
8,düğmel,2619,534.88
9,cepl,2413,475.44
10,kolay,2412,427.9
11,ütülenir,2412,389.0
12,yumuşak,2380,356.58
13,dok,2380,329.15
14,rahat,2347,305.64
15,günlük,2322,285.27
16,kullanı,2322,267.44
17,uygun,2322,251.71
18,nefes,2282,237.72
19,alabilir,2282,225.21
20,esnek,2276,213.95
21,yap,2276,203.76
22,kalıp,2260,194.5
23,çift,2254,186.04
24,sezonun,1369,178.29
25,bir,1353,171.16
26,hırk,1143,164.58
27,çant,1110,158.48
28,gömlek,1053,152.82
29,pantolon,1047,147.55
30,bluz,1041,142.63
31,tshirt,1038,138.03
32,sweatshirt,1011,133.72
33,ceket,1002,129.67
34,elbis,990,125.85
35,etek,921,122.26
36,özel,718,118.86
37,yapısıyl,718,115.65
38,gardırobunuzun,715,112.61
39,vazgeçilmez,715,109.72
40,olmay,715,106.97
41,aday,715,104.37
42,ofisten,711,101.88
43,sokağ,711,99.51
44,ortam,711,97.25
45,uyu,711,95.09
46,sağ,711,93.02
47,kumaştan,711,91.04
48,üretil,711,89.15
49,olup,711,87.33
50,konfor,703,85.58
51,ara,703,83.9
52,yen,696,82.29
53,favor,696,80.74
54,parçalarından,696,79.24
55,olan,696,77.8
56,sayesin,696,76.41
57,tercih,674,75.07
58,edilerek,674,73.78
59,üretilen,674,72.53
60,trend,673,71.32
61,renkleriyl,673,70.15
62,komb,673,69.02
63,yapabilirsiniz,673,67.92
64,gardıropt,653,66.86
65,olmas,653,65.83
66,gere,653,64.83
67,içeriğiyl,653,63.87
68,sad,650,62.93
69,etkileyi,650,62.01
70,görünü,650,61.13
71,sunar,650,60.27
72,örm,459,59.43
73,100,456,58.62
74,pamuk,456,57.82
75,likral,448,57.05
76,der,445,56.3
77,görünüml,445,55.57
78,saten,421,54.86
79,viskon,417,54.16
80,polyester,412,53.49
81,kot,394,52.83
82,beyaz,376,52.18
83,yeşil,370,51.55
84,siyah,363,50.94
85,kırmız,355,50.34
86,mor,351,49.76
87,mav,341,49.18
88,pemb,335,48.62
89,gri,330,48.08
90,lacivert,321,47.54
91,bej,310,47.02
92,çantas,279,46.51
93,uzun,261,46.01
94,detayl,255,45.52
95,yak,249,45.04
96,baskıl,186,44.57
97,oversiz,176,44.11
98,dantel,164,43.66
99,kruvaz,150,43.22
100,kes,149,42.79
101,örg,107,42.37
102,el,106,41.95
103,omz,102,41.54
104,açık,102,41.14
105,fermuarl,96,40.75
106,kapitonel,91,40.37
107,klasik,91,39.99
108,astar,91,39.62
109,dar,90,39.26
110,paç,90,38.9
111,yüksek,90,38.55
112,bel,90,38.21
113,volanl,89,37.87
114,sırt,88,37.54
115,koll,86,37.21
116,askıl,85,36.89
117,kale,85,36.57
118,omuz,85,36.26
119,v,84,35.96
120,sli,83,35.66
121,fit,83,35.36
122,lastikl,82,35.07
123,pilel,80,34.79
124,min,80,34.51
125,basic,79,34.23
126,bisiklet,74,33.96
127,kapüşonl,72,33.69
128,asimetr,62,33.43
